player_name,club,age,position,minutes,goals,assists,contract_expires_year,market_value_million_eur
Marco D'Alessandro,Benevento,26.0,"MF,FW",1043.0,1.0,1.0,,2.5
Kevin Strootman,Roma,27.0,MF,2258.0,1.0,1.0,,28.0
Gianluca Di Chiara,Benevento,23.0,DF,1007.0,0.0,0.0,,1.5
Cheick Diabaté,Benevento,29.0,"FW,MF",664.0,8.0,0.0,,4.0
Michael Keane,Everton,24.0,DF,2560.0,0.0,1.0,,20.0
Guilherme,Benevento,26.0,"MF,FW",944.0,2.0,2.0,,4.0
Bright Gyamfi,Benevento,21.0,"DF,MF",326.0,0.0,0.0,,0.04
Pietro Iemmello,Benevento,25.0,FW,880.0,2.0,1.0,,2.0
Achraf Lazaar,Benevento,25.0,"DF,MF",478.0,1.0,0.0,,1.0
Gaetano Letizia,Benevento,27.0,DF,2141.0,1.0,0.0,,1.5
Cristiano Lombardi,Benevento,21.0,"DF,MF",1112.0,0.0,2.0,,0.08
Dejan Lovren,Liverpool,28.0,DF,2127.0,2.0,1.0,,20.0
Sami Khedira,Juventus,30.0,MF,1912.0,9.0,2.0,,26.0
Vittorio Parigini,Benevento,21.0,"FW,MF",857.0,0.0,0.0,,1.1
Christian Puggioni,Benevento,36.0,GK,1179.0,0.0,0.0,,0.03
George Pușcaș,Benevento,21.0,"FW,MF",702.0,1.0,0.0,,2.8
Bacary Sagna,Benevento,34.0,DF,957.0,1.0,0.0,,0.08
Sandro,Benevento,28.0,MF,1153.0,1.0,0.0,,2.5
Phil Jones,Manchester Utd,25.0,DF,1973.0,0.0,0.0,,20.0
Lorenzo Venuti,Benevento,22.0,DF,2390.0,0.0,1.0,,1.5
Bryan Cristante,Atalanta,22.0,"MF,FW",2824.0,9.0,2.0,,25.0
Nicolò Barella,Cagliari,20.0,MF,2955.0,6.0,2.0,,25.0
Gabriel Paulista,Valencia,26.0,DF,2586.0,0.0,0.0,,20.0
Antonio Adán,Betis,30.0,GK,2700.0,0.0,0.0,,5.0
Panagiotis Retsos,Leverkusen,18.0,DF,1716.0,1.0,3.0,,18.0
Antonio Barragán,Betis,30.0,"DF,MF",2370.0,0.0,7.0,,2.5
Daley Blind,Manchester Utd,27.0,"DF,MF",362.0,0.0,0.0,,18.0
Ryad Boudebouz,Betis,27.0,"MF,FW",1364.0,2.0,3.0,,8.0
Ross Barkley,Chelsea,23.0,"MF,FW",129.0,0.0,0.0,,25.0
Joel Campbell,Betis,25.0,"MF,FW",216.0,2.0,0.0,,3.0
Rubén Castro,Betis,36.0,FW,359.0,1.0,1.0,,0.05
Riza Durmisi,Betis,23.0,"DF,MF",2080.0,2.0,2.0,,5.0
Marcos Rojo,Manchester Utd,27.0,DF,640.0,0.0,0.0,,18.0
Javi García,Betis,30.0,"MF,DF",2405.0,1.0,0.0,,4.0
Dani Giménez,Betis,34.0,GK,308.0,0.0,0.0,,0.02
Julio Gracia,Betis,19.0,"FW,MF",24.0,0.0,0.0,,0.03
João Mário,Inter,24.0,"MF,FW",554.0,0.0,1.0,,25.0
Francis Guerrero,Betis,21.0,"DF,MF",992.0,1.0,0.0,,2.5
Joaquín,Betis,36.0,"FW,MF",2476.0,4.0,7.0,,0.05
Sergio León,Betis,28.0,FW,1974.0,11.0,1.0,,5.0
Pedro López,Betis,22.0,GK,412.0,0.0,0.0,,0.025
Chris Smalling,Manchester Utd,27.0,DF,2536.0,4.0,0.0,,18.0
Loren Morón,Betis,23.0,FW,1061.0,7.0,0.0,,7.5
Matías Nahuel,Betis,20.0,"FW,MF",252.0,0.0,0.0,,1.0
Juanjo Narváez,Betis,22.0,MF,303.0,0.0,0.0,,0.05
Rafa Navarro,Betis,23.0,DF,135.0,0.0,0.0,,0.05
Aitor Ruibal,Betis,21.0,FW,10.0,0.0,0.0,,0.03
Antonio Sanabria,Betis,21.0,FW,854.0,8.0,0.0,,7.5
Cristian Tello,Betis,25.0,"FW,MF",1699.0,4.0,1.0,,6.0
Felipe Avenatti,Bologna,24.0,"FW,MF",468.0,0.0,0.0,,1.2
Lorenzo Crisetig,Bologna,24.0,MF,558.0,0.0,0.0,,1.7
Kamil Glik,Monaco,29.0,DF,3240.0,3.0,1.0,,18.0
Mattia Destro,Bologna,26.0,FW,1617.0,6.0,2.0,,6.0
Federico Di Francesco,Bologna,23.0,"FW,DF",1591.0,1.0,1.0,,3.5
Jordan Henderson,Liverpool,27.0,MF,2171.0,1.0,1.0,,25.0
Jemerson,Monaco,24.0,DF,2856.0,2.0,0.0,,18.0
